PM,Date,Exposure,Return,Beta,Momentum,Growth,Value,Size,Quality,EY,ResVol,ShortInt,Crowding
PM1,1/31/2025,12753,0.0311,0.449,0.996,0.092,-0.361,-0.207,0.463,0.17,0.076,0.746,-0.451
PM2,1/31/2025,43661,0.0252,-0.954,0.08,-0.874,-0.602,-0.622,0.171,-0.577,0.881,0.73,0.202
PM3,1/31/2025,63664,0.0854,0.714,0.429,-0.539,0.143,-0.624,-0.336,-0.56,0.454,-0.512,-0.857
PM1,2/28/2025,49397,-0.0722,-0.77,-0.599,0.161,0.558,0.019,-0.751,-0.649,-0.974,-0.203,-0.111
PM2,2/28/2025,17160,-0.0022,0.712,-0.706,0.116,-0.74,-0.774,-0.069,0.19,-0.599,0.805,-0.224
PM3,2/28/2025,79939,0.0035,-0.54,0.181,0.495,-0.124,0.42,0.438,-0.073,0.873,-0.827,-0.885
PM1,3/31/2025,65682,0.0748,0.479,-0.995,-0.076,0.766,0.077,-0.152,-0.322,-0.407,-0.759,-0.883
PM2,3/31/2025,62435,-0.0429,0.017,-0.786,0.152,0.479,-0.564,0.236,0.025,0.155,-0.175,0.99
PM3,3/31/2025,13616,-0.0996,0.083,0.216,0.559,0.876,-0.336,-0.18,0.272,0.685,-0.878,0.614
PM1,4/30/2025,63881,0.0911,0.965,-0.245,0.829,0.724,-0.143,0.377,-0.886,-0.209,-0.296,-0.949
PM2,4/30/2025,84813,-0.0609,-0.108,-0.125,0.213,-0.402,-0.715,-0.689,0.748,0.571,-0.863,-0.381
PM3,4/30/2025,36864,-0.0925,0.272,-0.829,0.302,-0.796,-0.839,-0.332,-0.73,-0.9,-0.58,0.758
PM1,5/31/2025,24985,0.0572,-0.087,-0.936,-0.31,-0.578,0.037,-0.199,0.77,-0.856,-0.611,0.292
PM2,5/31/2025,19869,-0.0352,-0.395,0.364,-0.783,0.942,0.419,0.145,0.341,-0.587,-0.1,0.324
PM3,5/31/2025,61125,-0.0609,0.94,-0.74,-0.708,-0.038,-0.931,-0.122,-0.031,0.898,0.434,-0.27
PM1,6/30/2025,54138,-0.0525,0.379,0.826,0.227,-0.43,-0.27,0.721,-0.876,-0.039,-0.878,0.694
PM2,6/30/2025,56820,-0.0845,-0.85,-0.177,-0.153,0.379,0.433,-0.778,-0.734,-0.951,1,-0.392
PM3,6/30/2025,99920,-0.0975,-0.428,-0.244,0.292,-0.822,0.629,-0.881,-0.517,0.738,0.965,0.175
PM1,7/31/2025,98647,0.0774,-0.6,-0.029,-0.594,0.567,-0.345,-0.905,0.313,-0.737,-0.154,0.631
PM2,7/31/2025,96687,-0.085,0.993,-0.071,-0.719,0.345,-0.01,0.408,-0.982,0.315,0.51,-0.347
PM3,7/31/2025,13045,0.034,0.993,0.822,-0.942,0.024,0.176,-0.075,-0.742,0.435,0.797,-0.965
PM1,8/31/2025,17064,0.0032,-0.239,-0.583,-0.764,-0.761,-0.457,0.368,-0.466,0.521,-0.39,-0.884
PM2,8/31/2025,23184,0.0543,-0.513,0.227,-0.343,0.652,0.01,0.718,-0.26,-0.526,-0.234,0.862
PM3,8/31/2025,11797,0.0603,0.969,-0.413,0.606,-0.892,-0.696,0.092,-0.958,0.629,-0.682,-0.738
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
