PM,Date,$Risk,Beta.Cont,Momentum.Cont,Growth.Cont,Value.Cont,Size.Cont,Quality.Cont,EY.Cont,ResVol.Cont,ShortInt.Cont,Crowding.Cont
PM1,1/31/2025,7331,-0.266,0.273,0.572,-0.251,0.359,-0.079,0.41,-0.447,0.746,0.206
PM2,1/31/2025,8098,-0.511,-0.598,0.602,-0.662,-0.413,0.442,0.442,0.294,-0.023,0.101
PM3,1/31/2025,9409,0.571,0.256,0.18,-0.121,0.999,-0.031,-0.717,0.1,0.73,0.533
PM1,2/28/2025,3044,0.369,-0.694,-0.168,0.998,-0.199,-0.111,-0.884,0.173,0.831,0.523
PM2,2/28/2025,2147,-0.984,0.025,-0.765,-0.827,-0.749,0.197,-0.54,0.397,0.581,0.498
PM3,2/28/2025,1896,0.289,-0.764,-0.862,-0.704,0.816,-0.287,0.597,0.603,-0.553,-0.183
PM1,3/31/2025,9537,0.667,-0.968,0.795,0.164,0.761,-0.957,0.963,0.805,0.753,-0.549
PM2,3/31/2025,1221,0.385,0.752,0.91,-0.638,-0.042,0.174,-0.464,0.505,0.533,-0.156
PM3,3/31/2025,8307,-0.075,-0.373,-0.098,0.044,-0.673,-0.594,-0.466,-0.131,-0.228,-0.095
PM1,4/30/2025,1341,0.644,0.852,0.073,-0.519,-0.846,-0.242,0.837,0.518,-0.135,0.689
PM2,4/30/2025,1988,0.831,0.137,0.781,0.611,-0.124,0.602,0.107,-0.544,0.879,0.668
PM3,4/30/2025,7113,0.392,-0.341,0.023,-0.94,0.775,-0.968,0.605,-0.22,-0.516,-0.746
PM1,5/31/2025,7091,-0.784,0.452,0.431,-0.909,0.235,-0.711,-0.369,0.439,-0.461,-0.588
PM2,5/31/2025,8735,-0.119,0.695,-0.917,-0.318,0.684,0.598,0.714,-0.934,0.151,-0.949
PM3,5/31/2025,7234,0.619,0.29,-0.732,0.962,0.386,-0.663,0.654,-0.935,0.674,-0.057
PM1,6/30/2025,9706,0.243,-0.335,-0.006,0.2,-0.483,-0.599,-0.126,0.307,0.57,0.424
PM2,6/30/2025,9877,0.764,0.848,0.524,0.376,0.369,0.947,-0.008,0.578,0.541,0.907
PM3,6/30/2025,3507,-0.595,0.788,0.789,0.84,-0.852,0.406,-0.896,0.38,0.64,0.276
PM1,7/31/2025,6792,0.781,0.783,-0.102,0.216,-0.401,-0.1,-0.204,0.541,0.375,-0.161
PM2,7/31/2025,8647,0.692,0.647,-0.747,-0.51,-0.489,0.422,0.903,0.909,-0.444,0.8
PM3,7/31/2025,7765,-0.017,-0.317,0.296,0.133,-0.411,-0.653,-0.662,-0.598,-0.107,-0.733
PM1,8/31/2025,8503,-0.778,0.532,0.353,0.412,-0.207,0.702,0.266,-0.005,0.491,0.39
PM2,8/31/2025,8646,0.081,0.584,-0.031,0.328,0.955,-0.574,-0.628,0.233,-0.965,0.531
PM3,8/31/2025,7075,-0.589,0.899,0.972,0.879,0.395,-0.54,0.317,-0.308,0.929,0.396
